ACCT_ID,SERIAL_NBR
3641272000,751200
8377483517,GE9911361
2001182000,GE9417778
9881382000,GE9357933
5051258061,GE9911258
8917082000,GE9363591
3448182000,GE9322116
1734572000,9175054
3972417168,1548740
6550419888,1357655
5969623769,13523849
2855372000,GE9313815
8905851930,1441392
3139272000,57630633
4223172000,61834720
3967681087,GE9387934
1283772000,GE9312918
8102282000,GE9790461
7893672000,GE9421991
30972000,7844207
5492972000,GE3912721
4828972000,GE3624650
4614228736,23573090
7546672000,GE9358190
5224542059,SS11383552
3757372000,GE3926430
7306472000,GE9797534
5374937095,1625154
1184772000,GE9420771
3838872000,SS18094559
6946272000,GE9361841
6797744961,26672654
9393572000,GE9330640
7679623742,GE9442222
5023091622,GE9363316
2827282000,GE9767551
2453282000,GE9390878
885096182,18674321
1485550967,GE9912310
4865628324,1209491
7027872000,SS17420089
8269772000,GE9356415
8798672000,SS17575755
3934468477,GE9911775
5827972000,GE9421327
6210093000,8864862
15872000,56612569
6980757710,11616291
442472000,1213717
1948072000,GE9417425
6406803289,GE3803026
320093000,15458891
4409157936,1212877
6762772000,GE9365934
9320572000,625862136
1586972000,4970518
5799182000,56595747
4103272000,GE9365957
6017459538,5271264
7823507668,GE3757914
1086543677,214874
4063372000,572140
8403425314,GE3757697
3803253697,SS17501015
121683782,GE9388629
5131666148,GE3736984
9174518818,11148301
6167672000,GE3644595
5922672000,1624293
780880927,GE9389139
3831344136,GE9391776
8831172000,GE3926566
5286544661,11613449
6288772000,GE3622984
6557201382,GE3733215
8925772000,13612735
7230868665,GE9418128
5785331099,SS13790357
9159610320,GE3757048
6145376912,GE3832693
8850454551,GE9353304
3755472000,SS13503555
5813382000,GE3925833
4750372000,GE3760463
4415064021,GE9363534
7912364369,GE9443672
6136178968,4348674
8063882454,GE3969720
9049282000,1793125
323772000,GE3737079
5374213126,GE3625101
5367137741,GE3732297
4170608820,GE3755012
5327572000,GE9322085
6593811452,GE3659730
7690380641,GE5854003
6258676508,GE3926484
717802095,11379123
9279572000,GE3759110
4833999764,CPA1792847
8686372000,GE9321468
5907372000,GE9765435
6007812480,GE9848656
6517471142,GE3733915
3277855338,GE9830772
3678772000,SS18157511
4765972000,1235692
1734182000,GE9322960
7276072000,GE9330418
9684082000,4369477
7061872000,7721583
3981783842,GE9415136
636172000,GE3624076
1070780494,GE9365233
6147572000,8066908
7407572000,1338911
7528872000,GE3859831
386649316,D625167
6345572000,55724207
4995334618,Y0564499
8802989101,SS18150813
5820182000,GE9348686
292767211,GE9323629
3527872000,28861074
1360613473,GE3660036
2871296581,1147230
2431449853,GE9365994
4061478371,GE9420159
2356325263,1792961
4076065871,Y564793
1643272000,1707777
4160152181,1441579
7621172000,GE3644616
3167275944,GE3832102
1278894474,11328171
5906172000,GE9797697
741904456,62580731
9108082000,GE9421457
5049182000,GE9847419
6643972000,SS17446629
6510113606,561916
3682294987,GE3644826
4876072000,GE9330836
